Party,Wingness,LGBT,BLM,Feminism,Paternal Age,Leftism,Age
Republican,Right-wing,1,1,0,30,0,54.0
Democratic,Left-wing,1,1,1,33,1,35.0
Independent,Left-wing,1,1,1,38,1,23.0
Democratic,Left-wing,1,1,1,21,1,39.0
Independent,Centrist,1,1,1,38,1,37.0
Democratic,Left-wing,1,1,1,28,1,54.0
Democratic,Left-wing,1,1,1,19,1,45.0
Democratic,Left-wing,1,0,1,43,0,68.0
Independent,Left-wing,1,1,1,22,1,25.0
Independent,Left-wing,1,1,1,39,1,46.0
Independent,Left-wing,1,1,1,20,1,28.0
Democratic,Left-wing,1,1,1,32,1,36.0
Republican,Right-wing,1,0,0,29,0,24.0
Democratic,Left-wing,1,1,1,33,1,23.0
Independent,Centrist,1,0,1,33,0,36.0
Democratic,Left-wing,1,1,1,29,1,59.0
Republican,Right-wing,1,0,1,27,0,52.0
Democratic,Left-wing,1,1,1,33,1,33.0
Independent,Centrist,0,0,0,26,0,35.0
Democratic,Left-wing,1,1,1,28,1,36.0
Democratic,Left-wing,1,1,1,38,1,25.0
Democratic,Left-wing,1,1,1,42,1,20.0
Republican,Right-wing,0,0,0,26,0,22.0
Democratic,Left-wing,1,1,1,31,1,31.0
Democratic,Left-wing,1,1,1,25,1,52.0
Democratic,Left-wing,1,1,1,33,1,70.0
Democratic,Centrist,1,1,1,35,1,29.0
Democratic,Left-wing,1,1,1,23,1,38.0
Democratic,Left-wing,1,0,1,19,0,28.0
Democratic,Centrist,1,1,1,30,1,32.0
Independent,Left-wing,1,1,1,25,1,40.0
Independent,Centrist,0,0,0,26,0,37.0
Republican,Right-wing,0,0,1,33,0,23.0
Independent,Left-wing,1,1,1,37,1,32.0
Independent,Right-wing,0,0,0,26,0,59.0
Democratic,Left-wing,1,1,1,35,1,23.0
Democratic,Left-wing,1,1,1,33,1,25.0
Republican,Right-wing,0,0,0,25,0,50.0
Democratic,Left-wing,1,1,1,54,1,27.0
Independent,Left-wing,1,1,1,35,1,59.0
Republican,Centrist,0,0,0,23,0,64.0
Independent,Left-wing,1,1,1,32,1,26.0
Independent,Centrist,0,0,0,22,0,65.0
non affiliated,Right-wing,0,0,0,25,0,50.0
Democratic,Centrist,1,1,1,40,1,64.0
Democratic,Centrist,0,0,1,34,0,37.0
Republican,Right-wing,0,0,0,50,0,51.0
Democratic,Left-wing,1,1,1,32,1,31.0
Independent,Centrist,1,1,1,37,1,35.0
Democratic,Left-wing,1,1,1,29,1,60.0
Leftist,Left-wing,1,1,1,33,1,24.0
Democratic,Left-wing,1,1,1,36,1,26.0
Independent,Right-wing,0,0,0,25,0,55.0
Republican,Centrist,1,0,0,25,0,35.0
Socialist,Left-wing,1,1,1,26,1,41.0
Independent,Centrist,1,1,1,25,1,46.0
Republican,Right-wing,0,0,0,40,0,31.0
Republican,Right-wing,0,0,1,32,0,55.0
Libertarian,Centrist,1,1,0,30,0,27.0
Democratic,Left-wing,1,1,1,23,1,41.0
Democratic,Left-wing,1,1,1,25,1,26.0
Democratic,Left-wing,1,1,1,40,1,35.0
Independent,Right-wing,0,0,1,32,0,27.0
Democratic,Left-wing,1,1,1,56,1,18.0
Republican,Right-wing,0,0,0,31,0,37.0
Republican,Right-wing,1,1,1,34,1,35.0
Independent,Left-wing,1,1,1,33,1,31.0
Democratic,Left-wing,1,1,1,37,1,37.0
Independent,Right-wing,0,0,0,22,0,65.0
Democratic,Centrist,1,1,1,35,1,31.0
Independent,Right-wing,0,0,0,28,0,42.0
Independent,Centrist,1,1,1,19,1,44.0
Republican,Right-wing,0,0,0,30,0,67.0
Socialist,Left-wing,1,1,1,38,1,32.0
Green,Left-wing,1,1,1,27,1,34.0
Democratic,Left-wing,1,1,1,24,1,31.0
Democratic,Left-wing,1,1,1,28,1,64.0
Democratic,Left-wing,1,1,1,29,1,31.0
Republican,Right-wing,1,0,1,37,0,35.0
Republican,Right-wing,0,0,0,24,0,63.0
Independent,Centrist,0,0,1,23,0,24.0
Republican,Right-wing,1,0,0,22,0,39.0
Republican,Right-wing,0,0,0,25,0,52.0
Independent,Centrist,1,1,1,27,1,70.0
